pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_trandep,pl_trandur,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum_x,st_logg,st_age,st_dens,decstr,dec,sy_dist,pl_type,IST,SPH,HZD,HZC,HZA,pClass,hClass,PHI,is_pot_livable,st_class,st_chz_inn_edge (AU),st_chz_out_edge (AU),st_lum_y,st_chz_width,st_chz_inn_edge (ls),st_chz_out_edge (ls),pl_orb_is_in_CHZ,pl_orb_prc_in_cCHZ,pl_orb_prc_in_cCHZ,OHZIN,CHZIN,CHZOUT,OHZOUT
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,Imaging,,50.5,,,1430.075,4.5,,,,1200.0,,,,,,M8,2825.0,0.22,0.105,,,-2.561,5.03,0.008,25.2795,-39d32m54.38s,-39.5484399,64.308,gas giant,,,,,,,,,,M8,0.01,0.01,2.93e-05,0.0,2.54,4.05,False,,,,,,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,0,Eclipse Timing Variations,416.0,0.92,,,603.877,1.9,,,,,,,,,,,,,0.48,,,,,,,+46d03m59.07s,46.0664076,396.332,gas giant,,,,,,,,,,,,,,,,,False,,,,,,
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,0,Imaging,7336.5,,10.31,0.92,6657.48,20.95,,0.26,,2075.0,46.2,,,,,M8.5,2300.0,0.12,0.08,,,-3.48,,,,+16d25m16.83s,16.4213408,,gas giant,,,,,,,,,,M8,0.01,0.01,2.93e-05,0.0,2.54,4.05,False,0.0,0.0,0.015,0.019,0.039,0.041
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,Imaging,,230.0,,,3972.875,12.5,,,,,,,,,,K7 V,4045.0,,0.6,,,,,0.12,,+47d51m42.06s,47.861683,69.5737,gas giant,,,,,,,,,,K7,,,,,,,False,,,,,,
30 Ari B b,30 Ari B,4,1,0,Radial Velocity,338.5333366666667,0.9983333333333334,,,3210.039533333334,10.1,,0.25299999999999995,,,,,,,,F6 V,6315.5,1.27,1.545,0.2175,[Fe/H],,4.465,0.91,,+24d38m52.84s,24.6480103,44.657,gas giant,,,,,,,,,,F6,,,,,,,False,0.0,23.9,1.229,1.557,2.712,2.86
4 UMa b,4 UMa,1,1,0,Radial Velocity,269.3,0.87,,,2256.5,7.1,,0.432,,,,,,,,K1 III,4415.0,18.11,1.23,-0.25,[Fe/H],,1.8,4.604,,+64d19m40.98s,64.3280504,73.4603,gas giant,,,,,,,,,,K1,0.5,0.79,0.28,0.3,248.21,396.07,True,0.0,0.0,8.483,10.745,19.949,21.041
42 Dra b,42 Dra,2,1,0,Radial Velocity,479.1,1.19,,,1233.13,3.88,,0.38,,,,,,,,K1.5 III,4200.0,22.03,0.98,-0.46,[Fe/H],,1.71,9.49,,+65d33m48.11s,65.5633652,90.6545,gas giant,,,,,,,,,,K1,0.5,0.79,0.28,0.3,248.21,396.07,False,0.0,0.0,9.398,11.905,22.332,23.555
47 UMa b,47 UMa,1,3,0,Radial Velocity,1084.65,2.0896666666666666,,,812.223832,2.5555999999999996,,0.0412,,,,2454415.6,,,,G1 V,5861.053333333333,1.1749999999999998,1.0350000000000001,0.033,"['[M/H]', '[Fe/H]']",0.198,4.3149999999999995,,0.8366,+40d25m49.78s,40.4304931,13.7967,gas giant,,,,,,,,,,G1,,,,,,,False,43.5,100.0,0.937,1.187,2.088,2.203
47 UMa c,47 UMa,1,3,0,Radial Velocity,4088.0,4.911333333333333,,,251.81724,0.7923333333333334,,0.09400000000000001,,,,2455651.0,,,,G1 V,5850.58,1.1749999999999998,1.0350000000000001,0.033,"['[Fe/H]', '[M/H]']",0.198,4.3149999999999995,,0.8366,+40d25m49.78s,40.4304931,13.7967,gas giant,,,,,,,,,,G1,,,,,,,False,0.0,0.0,0.937,1.187,2.088,2.203
47 UMa d,47 UMa,1,3,0,Radial Velocity,16501.0,12.7,,,500.570445,1.575,,0.27,,,,2451820.0,,,,,5850.58,1.1749999999999998,1.0350000000000001,0.033,"['[M/H]', '[Fe/H]']",0.198,4.3149999999999995,,0.8366,+40d25m49.78s,40.4304931,13.7967,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,0.937,1.187,2.088,2.203
