pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_trandep,pl_trandur,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum_x,st_logg,st_age,st_dens,decstr,dec,sy_dist,pl_type,IST,SPH,HZD,HZC,HZA,pClass,hClass,PHI,is_pot_livable,st_class,st_chz_inn_edge (AU),st_chz_out_edge (AU),st_lum_y,st_chz_width,st_chz_inn_edge (ls),st_chz_out_edge (ls),pl_orb_is_in_CHZ,pl_orb_prc_in_cCHZ,pl_orb_prc_in_cCHZ,OHZIN,CHZIN,CHZOUT,OHZOUT
HD 108874 b,HD 108874,1,2,0,Radial Velocity,395.5068716666667,1.0490000000000002,,,444.87530000000004,1.399714285714286,,0.11314285714285714,,,,2453527.5,,,,G5 V,5563.4875,1.07,1.0020000000000002,0.19016666666666668,"['[M/H]', '[Fe/H]']",-0.001,4.383333333333334,,1.0637,+22d52m45.98s,22.8794399,59.5175,gas giant,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,True,76.9,100.0,0.748,0.948,1.68,1.772
HD 108874 c,HD 108874,1,2,0,Radial Velocity,1663.25,2.7194,,,331.748512,1.0438,,0.25579999999999997,,,,2454785.0,,,,G5,5551.316666666667,1.09,0.9775,0.18524999999999997,"['[Fe/H]', '[M/H]']",-0.001,4.355,,1.0637,+22d52m45.98s,22.8794399,59.5175,gas giant,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,False,,,,,,
HD 109246 b,HD 109246,1,1,0,Radial Velocity,68.27,0.33,,,259.0269,0.815,,0.12,,,,,,,,G0 V,5844.0,1.045,1.105,0.1,[Fe/H],,4.46,,,+74d29m21.62s,74.4893379,67.8349,gas giant,,,,,,,,,,G0,1.1,1.75,1.36,0.65,547.02,872.9,False,0.0,0.0,0.818,1.037,1.825,1.925
HD 109271 b,HD 109271,1,2,0,Radial Velocity,7.8543,0.079,,,17.162,0.054,,0.25,,,,,,,,G5 V,5783.0,,1.05,0.1,[Fe/H],0.301,4.28,7.3,,-11d37m17.47s,-11.6215204,55.8716,neptune-like,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,False,0.0,0.0,1.061,1.344,2.37,2.499
HD 109271 c,HD 109271,1,2,0,Radial Velocity,30.93,0.196,,,24.154,0.076,,0.15,,,,,,,,G5 V,5783.0,,1.05,0.1,[Fe/H],0.301,4.28,7.3,,-11d37m17.47s,-11.6215204,55.8716,neptune-like,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,False,0.0,0.0,1.061,1.344,2.37,2.499
HD 109286 b,HD 109286,1,1,0,Radial Velocity,520.1,1.259,,,950.30694,2.99,,0.338,0.71,259.0,,,,,,G4 V,5694.0,1.09,0.98,0.05,[Fe/H],,4.44,,,+07d16m51.26s,7.2809064,55.4156,gas giant,,,,,,,,,,G4,,,,,,,False,78.5,100.0,0.799,1.012,1.788,1.886
HD 109749 b,HD 109749,2,1,0,Radial Velocity,5.2399455,0.06166666666666667,,,87.93183333333333,0.275,,0.005,,,,,,,,G3 V,5861.666666666667,1.2466666666666668,1.1866666666666665,0.25333333333333335,[Fe/H],0.20500000000000002,4.355,3.5,,-40d48m43.72s,-40.8121458,63.0821,gas giant,,,,,,,,,,G3,,,,,,,False,0.0,0.0,0.931,1.18,2.078,2.192
HD 110014 b,HD 110014,1,1,0,Radial Velocity,885.9385,2.2533333333333334,,,3777.842033333333,11.886666666666665,,0.261,,,,,,,,K2 III,4445.0,20.9,2.1199999999999997,0.165,[Fe/H],,2.1,0.95,,-07d59m44.41s,-7.9956702,100.758,gas giant,,,,,,,,,,K2,0.43,0.69,0.21,0.26,214.95,343.01,False,0.0,0.0,9.913,12.557,23.28,24.555
HD 110082 b,HD 110082,2,1,0,Transit,10.182826,0.113,3.231,0.285,,,,0.2,196.7,955.0,88.2,2458629.9084705003,0.071518,2.881994,0.025,F8 V,6176.5,1.1949999999999998,1.21,0.08,[Fe/H],0.281,4.275,0.25,1.0,-88d07m16.00s,-88.1211107,105.096,neptune-like,,,,,,,,,,F8,1.31,2.08,1.93,0.78,651.65,1039.86,False,0.0,0.0,1.011,1.28,2.236,2.359
HD 110113 b,HD 110113,1,2,0,Transit,2.5407275,0.035,2.1159999999999997,0.183,4.55,0.01432,2.9,0.093,785.19,1371.0,,2458570.1014644997,0.039675,2.405902,0.018,G,5867.5,0.99,1.0,0.14,[Fe/H],,4.465,4.0,,-44d18m43.48s,-44.3120777,106.307,neptune-like,,,,,,,,,,G,,,,,,,False,0.0,0.0,0.719,0.91,1.607,1.695
HD 110113 c,HD 110113,1,2,0,Radial Velocity,6.744,0.068,,,10.5,0.03304,,0.045,199.9,990.0,,,,,,G,5732.0,0.97,1.0,0.14,[Fe/H],,4.46,4.0,,-44d18m43.48s,-44.3120777,106.307,neptune-like,,,,,,,,,,G,,,,,,,False,0.0,0.0,0.719,0.91,1.607,1.695
HD 111232 b,HD 111232,1,1,0,Radial Velocity,1130.5,1.935,,,2186.6390666666666,6.88,,0.195,,,,,,,,G5 V,5503.0,0.9,0.79,-0.395,[Fe/H],-0.161,4.475,5.2,,-68d25m28.80s,-68.4246679,28.9571,gas giant,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,False,0.0,0.0,0.625,0.791,1.406,1.483
HD 111591 b,HD 111591,1,1,0,Radial Velocity,1056.4,2.5,,,1398.452,4.4,,0.26,,,,,,,,,4884.0,8.03,1.94,0.07,[Fe/H],1.581,3.1,1.41,,+22d51m47.26s,22.8631285,114.166,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,4.861,6.157,11.196,11.809
HD 111998 b,HD 111998,1,1,0,Radial Velocity,825.9,1.82,,,1433.4133,4.51,,0.03,,,,,,,,F5 V,6557.0,1.45,1.18,0.07,[Fe/H],,4.19,1.9,,-03d33m11.21s,-3.5531133,33.2237,gas giant,,,,,,,,,,F5,1.63,2.6,3.0,0.97,812.44,1296.45,True,100.0,100.0,1.338,1.694,2.942,3.103
HD 112640 b,HD 112640,1,1,0,Radial Velocity,613.2,1.7,,,1589.15,5.0,,0.24,,,,,,,,K0 III,4155.0,39.0,1.8,-0.09,[Fe/H],2.453,1.7,1.6,,+67d14m34.48s,67.2429122,323.335,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,0.0,0.0,13.613,17.243,32.418,34.193
HD 113337 b,HD 113337,1,1,0,Radial Velocity,324.0,0.92,,,942.3465,2.965,,0.46,,,,,,,,F6 V,6675.3,1.5,1.4,0.07,"['[Fe/H]', '[M/H]']",0.632,4.21,0.15,,+63d36m37.18s,63.610328,36.18,gas giant,,,,,,,,,,F6,,,,,,,False,0.0,0.0,1.391,1.761,3.057,3.224
HD 113538 b,HD 113538,1,2,0,Radial Velocity,463.25,0.975,,,100.11,0.315,,0.375,,,,,,,,K9 V,4573.5,0.5900000000000001,0.6399999999999999,-0.20500000000000002,[Fe/H],-1.046,4.035,2.8,,-52d26m46.86s,-52.4463502,16.2817,gas giant,,,,,,,,,,K9,,,,,,,False,0.0,0.0,0.253,0.321,0.594,0.627
HD 113538 c,HD 113538,1,2,0,Radial Velocity,1737.5,2.435,,,260.61,0.8200000000000001,,0.26,,,,,,,,K9 V,4573.5,0.5900000000000001,0.6399999999999999,-0.20500000000000002,[Fe/H],-1.046,4.035,2.8,,-52d26m46.86s,-52.4463502,16.2817,gas giant,,,,,,,,,,K9,,,,,,,False,0.0,0.0,0.253,0.321,0.594,0.627
HD 113996 b,HD 113996,2,1,0,Radial Velocity,610.2,1.6,,,2002.329,6.3,,0.28,,,,,,,,,4181.0,25.11,1.49,0.13,[Fe/H],2.464,1.86,3.24,,+27d37m27.98s,27.6244384,116.334,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,13.777,17.451,32.767,34.561
HD 114386 b,HD 114386,1,1,0,Radial Velocity,937.700005,1.69,,,378.20809999999994,1.19,,0.23,,,,,,,,,4820.0,0.76,0.64,-0.065,[Fe/H],-0.54,4.405,,,-35d03m22.25s,-35.0561807,27.9243,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,0.42,0.532,0.97,1.023
HD 114613 b,HD 114613,1,1,0,Radial Velocity,3913.5,5.25,,,133.007655,0.4185,,0.354,,,,,,,,G4 IV,5685.0,2.14,1.315,0.18,[Fe/H],,3.92,,,-37d48m10.16s,-37.8028236,20.2836,gas giant,,,,,,,,,,G4,,,,,,,False,12.7,15.1,1.544,1.955,3.462,3.651
HD 114729 b,HD 114729,2,1,0,Radial Velocity,1125.8725,2.0902,,,292.20947800000005,0.9194000000000001,,0.1668,,,,2451631.0,,,,G0 V,5813.955,1.5566666666666666,1.014,-0.27280000000000004,[Fe/H],,4.08,10.116,,-31d52m28.83s,-31.8746756,37.8063,gas giant,,,,,,,,,,G0,1.1,1.75,1.36,0.65,547.02,872.9,False,100.0,100.0,1.124,1.424,2.507,2.645
HD 114762 b,HD 114762,2,1,0,Radial Velocity,83.90155,0.3586666666666667,12.44,1.11,3532.4109000000003,11.116666666666665,,0.33709999999999996,,,,2455326.665,0.91,,,,5831.666666666667,1.22,0.84,-0.7156666666666668,[Fe/H],,4.283333333333332,,,+17d31m01.65s,17.517124,40.1949,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,0.924,1.171,2.06,2.173
HD 114783 b,HD 114783,1,2,0,Radial Velocity,496.03999999999996,1.17325,,,331.086685,1.04175,,0.11374999999999999,,,,2455283.8,,,,K0,5115.246666666667,0.84,0.88,0.20274999999999999,"['[M/H]', '[Fe/H]']",-0.372,4.525,,2.0259,-02d15m53.97s,-2.2649921,21.0628,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,,,,,,
HD 114783 c,HD 114783,1,2,0,Radial Velocity,4329.5,4.97,,,201.821525,0.635,,0.057,,,,2454959.0,,,,,5126.74,0.84,0.86,0.151,[Fe/H],,4.53,,,-02d15m53.97s,-2.2649921,21.0628,gas giant,,,,,,,,,,,,,,,,,False,,,,,,
HD 11506 b,HD 11506,1,2,0,Radial Velocity,1481.2,2.6236,,,1446.7294200000001,4.5520000000000005,,0.316075,,,,,,,,G0 V,6081.5,1.328,1.265,0.3133333333333333,"['[Fe/H]', '[M/H]']",0.33875,4.32,3.366666666666667,0.6413,-19d30m26.63s,-19.507396,51.261,gas giant,,,,,,,,,,G0,1.1,1.75,1.36,0.65,547.02,872.9,False,24.1,27.7,1.081,1.369,2.399,2.53
HD 11506 c,HD 11506,1,2,0,Radial Velocity,205.8216666666667,0.7113333333333333,,,168.23154666666667,0.5293333333333333,,0.2843333333333333,,,,,,,,G0 V,6042.5,1.34,1.1800000000000002,0.3133333333333333,"['[M/H]', '[Fe/H]']",0.3316666666666667,4.265000000000001,2.3499999999999996,0.6413,-19d30m26.63s,-19.507396,51.261,gas giant,,,,,,,,,,G0,1.1,1.75,1.36,0.65,547.02,872.9,False,0.0,0.0,1.081,1.369,2.399,2.53
HD 115954 b,HD 115954,1,1,0,Radial Velocity,3700.0,5.0,,,2634.79749,8.29,,0.487,0.06,145.0,,,,,,G0 V,5957.0,1.21,1.18,0.34,[Fe/H],,4.15,,,+38d22m08.90s,38.3691383,87.6437,gas giant,,,,,,,,,,G0,1.1,1.75,1.36,0.65,547.02,872.9,False,0.0,0.0,0.955,1.21,2.124,2.24
HD 116029 b,HD 116029,2,2,0,Radial Velocity,670.0,1.7149999999999999,,,556.181,1.75,,0.027,,,,,,,,,4885.0,4.744999999999999,1.205,0.135,[Fe/H],1.053,3.19,2.7,,+24d38m54.50s,24.6484725,123.245,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,2.687,3.404,6.206,6.546
HD 116029 c,HD 116029,2,2,0,Radial Velocity,907.0,,,,403.6441,1.27,,0.038,,,,,,,,,,,1.33,,,,,,,+24d38m54.50s,24.6484725,123.245,gas giant,,,,,,,,,,,,,,,,,False,,,,,,
HD 117207 b,HD 117207,1,1,0,Radial Velocity,2617.766,3.7682,,,601.9887333333332,1.8943333333333332,,0.14883333333333335,,,,2453356.0,,,,G8 IV/V,5695.15,1.1033333333333335,1.03,0.23820000000000002,[Fe/H],,4.3875,5.556,,-35d34m16.69s,-35.5713041,32.3547,gas giant,,,,,,,,,,G8,0.7,1.12,0.56,0.42,351.02,560.13,False,0.0,0.0,0.793,1.004,1.773,1.87
HD 11755 b,HD 11755,1,1,0,Radial Velocity,433.70000500000003,1.085,,,1927.63895,6.0649999999999995,,0.19,,,,,,,,G5,4312.25,23.939999999999998,0.81,-0.74,[Fe/H],,1.67,10.2,,+73d09m07.69s,73.1521372,235.045,gas giant,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,True,0.0,0.0,9.225,11.685,21.801,22.995
HD 117618 b,HD 117618,1,1,0,Radial Velocity,25.8135,0.17533333333333334,,,55.78573,0.1755,,0.3133333333333333,,,,,,,,G2 V,5954.4275,1.19,1.1,0.02266666666666667,"['[Fe/H]', '[M/H]']",0.213,4.363333333333333,5.6,0.9334,-47d16m18.86s,-47.2719049,37.7781,gas giant,,,,,,,,,,G2,0.93,1.48,0.97,0.55,461.97,737.19,False,0.0,0.0,0.854,1.082,1.898,2.002
HD 118203 b,HD 118203,1,1,0,Radial Velocity,6.1335,0.07,,,781.87285,2.46,,0.3095,,,,,,,,K0,5732.0,2.06,1.5350000000000001,0.165,[Fe/H],,3.975,4.6,,+53d43m41.48s,53.7281876,92.2589,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,0.0,0.0,1.585,2.007,3.532,3.725
HD 11964 b,HD 11964,2,2,0,Radial Velocity,1986.5,3.2283333333333335,,,194.4361525,0.6114999999999999,,0.06875,,,,2455803.0,,,,,5332.533333333334,2.03,1.065,0.12,"['[M/H]', '[Fe/H]']",0.459,3.896666666666667,,0.1581,-10d14m36.49s,-10.2434693,33.5369,gas giant,,,,,,,,,,,,,,,,,False,0.0,40.7,1.308,1.657,2.965,3.128
HD 11964 c,HD 11964,2,2,0,Radial Velocity,37.9148,0.23025,,,24.672829999999998,0.07769999999999999,,0.20299999999999999,,,,2455199.94,,,,,5324.3,2.03,1.03,0.11900000000000001,"['[M/H]', '[Fe/H]']",0.459,3.83,,0.1581,-10d14m36.49s,-10.2434693,33.5369,neptune-like,,,,,,,,,,,,,,,,,False,0.0,0.0,1.308,1.657,2.965,3.128
HD 11977 b,HD 11977,1,1,0,Radial Velocity,666.3,1.91,,,2048.3316666666665,6.4433333333333325,,0.35,,,,,,,,,4970.0,10.09,2.006666666666667,-0.185,[Fe/H],,2.9,1.2,,-67d38m49.15s,-67.6469871,67.9331,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,5.858,7.42,13.443,14.179
HD 120084 b,HD 120084,1,1,0,Radial Velocity,2082.0,4.3,,,1430.2,4.5,,0.66,,,,,,,,G7 III,4892.0,9.12,2.39,0.09,[Fe/H],1.64,2.71,,,+78d03m52.70s,78.0646376,103.044,gas giant,,,,,,,,,,G7,0.73,1.16,0.6,0.43,363.34,579.79,False,32.5,59.7,5.201,6.588,11.974,12.63
HD 121504 b,HD 121504,1,1,0,Radial Velocity,63.33,0.33,,,433.96164999999996,1.365,,0.03,,,,,,,,,6051.0,1.07,1.4,0.155,[Fe/H],0.19,4.615,1.2,,-56d02m25.47s,-56.0404085,41.6592,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,0.861,1.09,1.911,2.016
HD 124330 b,HD 124330,1,1,0,Radial Velocity,270.66,0.86,,,238.37131,0.75,,0.34,,,0.808,,,,,G4 IV,5873.0,,1.15,0.22,[Fe/H],,4.24,,,+54d24m32.30s,54.4089731,60.1977,gas giant,,,,,,,,,,G4,,,,,,,False,0.0,37.7,1.038,1.315,2.313,2.44
HD 12484 b,HD 12484,1,1,0,Radial Velocity,58.83,0.297,,,947.1334,2.98,,0.07,,,,,,,,F8,5920.0,,1.01,0.05,[Fe/H],,4.65,,,+02d48m56.91s,2.8158078,48.3367,gas giant,,,,,,,,,,F8,1.31,2.08,1.93,0.78,651.65,1039.86,False,0.0,0.0,0.615,0.779,1.368,1.443
HD 125390 b,HD 125390,1,1,0,Radial Velocity,1756.2,3.16,,,7043.1128,22.16,,0.591,,,,,,,,G7 V,4850.0,6.47,1.36,,,,3.13,,,+38d58m00.89s,38.9669132,153.647,gas giant,,,,,,,,,,G7,0.73,1.16,0.6,0.43,363.34,579.79,False,35.7,60.7,3.597,4.556,8.295,8.749
HD 125595 b,HD 125595,1,1,0,Radial Velocity,9.6737,0.08045,,,9.7453,0.0305,,0.0,,,,,,,,K4 V,4799.5,0.74,0.525,0.05,[Fe/H],,4.245,3.53,,-40d23m39.28s,-40.3942443,28.1989,neptune-like,,,,,,,,,,K4,0.33,0.52,0.12,0.19,162.49,259.29,False,0.0,0.0,0.387,0.491,0.9,0.949
HD 125612 b,HD 125612,2,3,0,Radial Velocity,546.4612125,1.314,,,1023.067225,3.2075,,0.43176666666666663,,,,,,,,G3 V,5892.25,1.06,1.1225,0.22999999999999998,[Fe/H],0.0485,4.43,2.29,,-17d28m54.53s,-17.4818147,57.6207,gas giant,,,,,,,,,,G3,,,,,,,False,43.6,64.8,0.801,1.015,1.786,1.884
HD 125612 c,HD 125612,2,3,0,Radial Velocity,4.154920000000001,0.0512,,,17.740325,0.0565,,0.1595,,,,,,,,G3 V,5870.5,1.05,1.1,0.225,[Fe/H],0.0485,4.41,2.385,,-17d28m54.53s,-17.4818147,57.6207,neptune-like,,,,,,,,,,G3,,,,,,,False,0.0,0.0,0.801,1.015,1.786,1.884
HD 125612 d,HD 125612,2,3,0,Radial Velocity,2921.5,4.13,,,2299.9012000000002,7.24,,0.1986,,,,,,,,G3 V,5870.5,1.05,1.1,0.225,[Fe/H],0.0485,4.41,2.385,,-17d28m54.53s,-17.4818147,57.6207,gas giant,,,,,,,,,,G3,,,,,,,False,0.0,0.0,0.801,1.015,1.786,1.884
HD 12648 b,HD 12648,1,1,0,Radial Velocity,133.600005,0.54,,,772.3269,2.4299999999999997,,0.04,,,,,,,,G5,4835.4,10.11,0.935,-0.57,[Fe/H],,2.18,4.5,,+85d44m11.52s,85.7365329,182.192,gas giant,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,False,0.0,0.0,6.092,7.716,14.059,14.829
HD 126525 b,HD 126525,1,1,0,Radial Velocity,960.41,1.837,,,75.32571,0.237,,0.035,,,,,,,,,5638.0,0.98,0.9,-0.1,[Fe/H],,4.38,9.67,,-51d55m58.48s,-51.9329118,37.6506,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,0.706,0.895,1.584,1.671
HD 12661 b,HD 12661,1,2,0,Radial Velocity,260.601524,0.8185800000000001,,,758.4906416666666,2.3865,,0.3415,,,,2456079.28,,,,,5692.636,1.155,1.074,0.322,"['[Fe/H]', '[M/H]']",0.098,4.345,6.39,0.7884,+25d24m48.83s,25.4135632,37.8478,gas giant,,,,,,,,,,,,,,,,,False,27.3,59.3,0.867,1.098,1.943,2.05
HD 12661 c,HD 12661,1,2,0,Radial Velocity,1694.5666666666666,2.8588750000000003,,,589.2639225,1.85425,,0.024333333333333335,,,,2455774.9,,,,,5688.06,1.1733333333333336,1.0333333333333334,0.33266666666666667,"['[M/H]', '[Fe/H]']",0.098,4.295,6.39,0.7884,+25d24m48.83s,25.4135632,37.8478,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,0.808,1.024,1.807,1.906
HD 126614 b,HD 126614,3,1,0,Radial Velocity,1248.75,2.3369999999999997,,,121.15240333333334,0.38199999999999995,,0.49349999999999994,,,,2457930.0,,,,,5520.943333333334,1.26,1.1433333333333333,0.5026666666666667,[Fe/H],0.083,4.286666666666666,7.2,,-05d10m42.27s,-5.1784093,73.0961,gas giant,,,,,,,,,,,,,,,,,False,28.3,31.9,0.932,1.18,2.094,2.208
HD 128311 b,HD 128311,1,2,0,Radial Velocity,450.1998333333333,1.0754000000000001,,,624.9930133333334,1.9665,,0.2985,,,30.0,2455211.3,,,,K0 V,4948.469999999999,0.77,0.8233333333333334,0.07133333333333335,[Fe/H],,4.59,0.855,,+09d44m43.57s,9.7454368,16.3292,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,,,,,,
HD 128311 c,HD 128311,1,2,0,Radial Velocity,920.3675999999999,1.74675,,,1060.826038,3.3378,,0.175,,,55.95,2455219.0,,,,K0,4948.469999999999,0.77,0.835,0.07133333333333335,[Fe/H],,4.59,0.855,,+09d44m43.57s,9.7454368,16.3292,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,,,,,,
HD 128356 b,HD 128356,1,1,0,Radial Velocity,298.2,0.87,,,282.8687,0.89,,0.57,,,,,,,,K3 V,4875.0,0.85,0.65,0.17,[Fe/H],-0.444,4.52,10.0,,-25d48m11.42s,-25.8031728,26.1548,,,,,,,,,,,K3,0.4,0.64,0.18,0.24,199.01,317.56,True,32.0,44.4,0.473,0.599,1.089,1.148
HD 129445 b,HD 129445,1,1,0,Radial Velocity,1840.0,2.9,,,508.507,1.6,,0.7,,,,,,,,G6 V,,,0.99,0.25,[Fe/H],,,,,-68d45m46.76s,-68.7629901,67.4386,gas giant,,,,,,,,,,G6,0.75,1.2,0.64,0.45,375.25,598.81,False,,,,,,
HD 130322 b,HD 130322,1,1,0,Radial Velocity,10.711469999999998,0.09075,,,346.34785999999997,1.08975,,0.024749999999999998,,720.0,,2455631.777,,,,K0 V,5356.3724999999995,0.86,0.87,0.032999999999999995,[Fe/H],,4.525,0.35,,-00d16m55.48s,-0.2820782,31.8766,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,0.0,0.0,0.567,0.719,1.282,1.353
HD 131496 b,HD 131496,1,1,0,Radial Velocity,889.5,2.07,,,661.0777333333334,2.08,,0.168,,,,,,,,,4886.333333333333,4.760000000000001,1.5233333333333334,0.185,[Fe/H],0.991,3.2133333333333334,2.7,,+18d14m06.94s,18.2352618,131.849,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,2.464,3.122,5.685,5.996
HD 131664 b,HD 131664,1,1,0,Radial Velocity,1951.0,3.17,,,5922.6403,18.634999999999998,,0.639,,,,,,,,,5889.0,1.12,1.145,0.31,[Fe/H],0.164,4.445,2.4,,-73d32m06.84s,-73.5352345,52.8128,gas giant,,,,,,,,,,,,,,,,,False,12.1,13.3,0.837,1.061,1.865,1.967
HD 13167 b,HD 13167,1,1,0,Radial Velocity,2613.0,4.1,,,1052.0173,3.31,,0.563,,,,,,,,,5671.0,2.39,1.35,,,,3.72,,,-24d41m44.07s,-24.695575,148.934,gas giant,,,,,,,,,,,,,,,,,False,20.2,32.3,1.739,2.203,3.897,4.11
HD 13189 b,HD 13189,1,1,0,Radial Velocity,471.600005,1.55,,,3940.1192499999997,12.475,,0.27,,,,,,,,,4179.7,40.19499999999999,2.24,-0.371,"['[Fe/H]', '[M/H]']",,1.62,,,+32d18m59.24s,32.3164548,497.823,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,16.203,20.523,38.547,40.657
HD 132406 b,HD 132406,1,1,0,Radial Velocity,974.0,1.98,,,1746.4382,5.495,,0.34,,,,,,,,,5771.145,1.3450000000000002,1.03,0.1345,"['[M/H]', '[Fe/H]']",0.26,4.195,,0.5839,+53d22m51.46s,53.3809615,70.7832,gas giant,,,,,,,,,,,,,,,,,False,53.3,61.1,1.007,1.276,2.25,2.373
HD 132563 b,HD 132563,3,1,0,Radial Velocity,1544.0,2.62,,,473.547,1.49,,0.22,,,,,,,,,6289.0,1.3,1.23,,,0.374,4.3,,0.7977,+44d02m34.29s,44.0428571,105.155,gas giant,,,,,,,,,,,,,,,,,False,34.9,42.3,1.119,1.417,2.471,2.607
HD 133131 A b,HD 133131 A,2,3,0,Radial Velocity,649.0,1.44,,,451.3186,1.42,,0.33,,,,,,,,G2 V,5799.0,,0.95,-0.306,[Fe/H],,4.39,9.7,,-27d50m35.29s,-27.8431369,51.4736,gas giant,,,,,,,,,,G2,0.93,1.48,0.97,0.55,461.97,737.19,True,56.8,74.7,0.777,0.985,1.736,1.831
HD 133131 A c,HD 133131 A,2,3,0,Radial Velocity,3568.0,4.49,,,133.4886,0.42,,0.49,,,,,,,,G2 V,5799.0,,0.95,-0.306,[Fe/H],,4.39,9.7,,-27d50m35.29s,-27.8431369,51.4736,gas giant,,,,,,,,,,G2,0.93,1.48,0.97,0.55,461.97,737.19,False,0.0,0.0,0.777,0.985,1.736,1.831
HD 133131 B b,HD 133131 B,2,3,0,Radial Velocity,5769.0,6.15,,,794.575,2.5,,0.61,,,,,,,,G2 V,5805.0,,0.93,-0.281,[Fe/H],,4.41,9.7,,-27d50m29.74s,-27.8415947,51.2993,gas giant,,,,,,,,,,G2,0.93,1.48,0.97,0.55,461.97,737.19,False,0.0,0.0,0.753,0.954,1.681,1.773
HD 134060 b,HD 134060,1,2,0,Radial Velocity,3.2696,0.0444,,,10.1,0.0318,,0.45,,,,,,,,G3 IV,5966.0,,1.09,0.14,[Fe/H],0.158,4.43,,,-61d25m20.55s,-61.4223747,24.0125,neptune-like,,,,,,,,,,G3,,,,,,,False,0.0,0.0,0.89,1.127,1.979,2.087
HD 134060 c,HD 134060,1,2,0,Radial Velocity,1291.5646,2.3928,,,29.29,0.0922,,0.11,,,,,,,,G3 IV,5966.0,,1.09,0.14,[Fe/H],0.158,4.43,,,-61d25m20.55s,-61.4223747,24.0125,neptune-like,,,,,,,,,,G3,,,,,,,False,0.0,0.0,0.89,1.127,1.979,2.087
HD 134987 b,HD 134987,1,2,0,Radial Velocity,259.50619800000004,0.816,,,513.164506,1.6148,,0.26082,,,,2452704.42,,,,G5 V,5692.945,1.2533333333333332,1.08,0.2803333333333334,[Fe/H],0.255,4.303333333333334,8.4,,-25d18m34.82s,-25.3096721,26.1804,gas giant,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,False,0.0,39.3,0.905,1.146,2.024,2.134
HD 134987 c,HD 134987,1,2,0,Radial Velocity,5480.0,6.21,,,278.58478,0.8775,,0.137,,,,2455060.0,,,,G5 V,5642.889999999999,1.27,1.0950000000000002,0.281,[Fe/H],0.255,4.25,8.4,,-25d18m34.82s,-25.3096721,26.1804,gas giant,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,False,0.0,0.0,1.018,1.29,2.287,2.412
HD 136352 b,HD 136352,1,3,0,Radial Velocity,11.579386666666666,0.09556666666666667,1.573,0.14,4.716666666666666,0.014830000000000001,6.711945,0.07300000000000001,112.8,908.0,88.675,2458788.0699,0.0194,3.9355,0.013925,G4 V,5757.0,1.0350000000000001,0.8633333333333334,-0.27666666666666667,"['[Fe/H]', '[M/H]']",0.015333333333333332,4.385,10.25,1.1343999999999999,-48d19m07.74s,-48.3188174,14.682,super earth,,,,,,,,,,G4,,,,,,,False,0.0,0.0,0.77,0.975,1.725,1.819
HD 136352 c,HD 136352,1,3,0,Radial Velocity,27.588403333333332,0.17053333333333334,2.762,0.2465,11.11,0.03496,2.9988349999999997,0.025666666666666667,35.55,679.5,88.61449999999999,2458802.6523,0.0598,3.2298999999999998,0.024445,G4 V,5757.0,1.0350000000000001,0.8633333333333334,-0.27666666666666667,"['[Fe/H]', '[M/H]']",0.015333333333333332,4.385,10.25,1.1343999999999999,-48d19m07.74s,-48.3188174,14.682,neptune-like,,,,,,,,,,G4,,,,,,,False,0.0,0.0,0.77,0.975,1.725,1.819
