pl_name,pl_type
HD 221585 b,gas giant
HD 222076 b,gas giant
HD 222155 b,gas giant
HD 222582 b,gas giant
HD 224538 b,gas giant
BD+15 2940 b,gas giant
BD-17 63 b,gas giant
BD+20 2457 b,gas giant
BD+20 2457 c,gas giant
BD+20 274 b,gas giant
BD+45 564 b,gas giant
BD+48 738 b,gas giant
BD+48 740 b,gas giant
BD+49 828 b,gas giant
BD+55 362 b,gas giant
BD+63 1405 b,gas giant
bet Cnc b,gas giant
bet Pic b,gas giant
bet Pic c,gas giant
bet UMi b,gas giant
CFBDSIR J145829+101343 b,gas giant
CFHTWIR-Oph 98 b,gas giant
CHXR 73 b,gas giant
CI Tau b,gas giant
COCONUTS-2 b,gas giant
CoRoT-10 b,gas giant
CoRoT-11 b,gas giant
CoRoT-12 b,gas giant
CoRoT-13 b,gas giant
CoRoT-14 b,gas giant
CoRoT-16 b,gas giant
CoRoT-17 b,gas giant
CoRoT-18 b,gas giant
CoRoT-19 b,gas giant
CoRoT-1 b,gas giant
CoRoT-20 b,gas giant
CoRoT-20 c,gas giant
CoRoT-21 b,gas giant
CoRoT-23 b,gas giant
CoRoT-25 b,gas giant
CoRoT-26 b,gas giant
CoRoT-27 b,gas giant
CoRoT-28 b,gas giant
CoRoT-29 b,gas giant
CoRoT-2 b,gas giant
CoRoT-30 b,gas giant
CoRoT-31 b,gas giant
CoRoT-3 b,gas giant
CoRoT-4 b,gas giant
CoRoT-5 b,gas giant
CoRoT-6 b,gas giant
CoRoT-8 b,gas giant
CoRoT-9 b,gas giant
CoRoTID 223977153 b,gas giant
HD 149143 b,gas giant
HD 1502 b,gas giant
HD 150706 b,gas giant
HD 152079 b,gas giant
HD 152581 b,gas giant
HD 153950 b,gas giant
HD 154345 b,gas giant
HD 154672 b,gas giant
HD 154857 b,gas giant
HD 154857 c,gas giant
HD 155193 b,gas giant
HD 155233 b,gas giant
HD 155358 b,gas giant
HD 155358 c,gas giant
HD 156279 b,gas giant
HD 156279 c,gas giant
HD 156411 b,gas giant
HD 156846 b,gas giant
HD 158038 b,gas giant
HD 158996 b,gas giant
HD 159243 b,gas giant
HD 159243 c,gas giant
HD 159868 b,gas giant
HD 159868 c,gas giant
HD 1605 b,gas giant
HD 1605 c,gas giant
HD 160691 b,gas giant
HD 160691 c,gas giant
HD 160691 e,gas giant
HD 16141 b,gas giant
HD 16175 b,gas giant
HD 162020 b,gas giant
HD 163607 b,gas giant
HD 163607 c,gas giant
HD 164509 b,gas giant
HD 164604 b,gas giant
HD 164922 b,gas giant
HD 165155 b,gas giant
HD 1666 b,gas giant
HD 166724 b,gas giant
HD 167042 b,gas giant
HD 168443 b,gas giant
HD 168443 c,gas giant
HD 168746 b,gas giant
HD 1690 b,gas giant
HD 169830 b,gas giant
HD 169830 c,gas giant
HD 170469 b,gas giant
HD 17092 b,gas giant
HAT-P-66 b,gas giant
HAT-P-67 b,gas giant
HAT-P-68 b,gas giant
HAT-P-69 b,gas giant
HAT-P-6 b,gas giant
HAT-P-70 b,gas giant
HAT-P-7 b,gas giant
HAT-P-8 b,gas giant
HAT-P-9 b,gas giant
HATS-10 b,gas giant
HATS-11 b,gas giant
HATS-12 b,gas giant
HATS-13 b,gas giant
HATS-14 b,gas giant
HATS-15 b,gas giant
HATS-16 b,gas giant
HATS-17 b,gas giant
HATS-18 b,gas giant
HATS-22 b,gas giant
HATS-23 b,gas giant
HATS-24 b,gas giant
HATS-25 b,gas giant
HATS-26 b,gas giant
HATS-27 b,gas giant
HATS-28 b,gas giant
HATS-29 b,gas giant
HATS-30 b,gas giant
HATS-31 b,gas giant
HATS-32 b,gas giant
HATS-33 b,gas giant
HATS-34 b,gas giant
HATS-35 b,gas giant
HATS-36 b,gas giant
HATS-39 b,gas giant
HATS-40 b,gas giant
HATS-41 b,gas giant
HATS-42 b,gas giant
HATS-43 b,gas giant
HATS-44 b,gas giant
HATS-45 b,gas giant
HATS-46 b,gas giant
HATS-47 b,gas giant
HATS-48 A b,gas giant
HATS-49 b,gas giant
HATS-50 b,gas giant
HD 5583 b,gas giant
HD 5608 b,gas giant
HD 5891 b,gas giant
HD 59686 A b,gas giant
HD 60292 b,gas giant
HD 60532 b,gas giant
HD 60532 c,gas giant
HD 62509 b,gas giant
HD 63454 b,gas giant
HD 63765 b,gas giant
HD 6434 b,gas giant
HD 65216 b,gas giant
HD 65216 c,gas giant
HD 66141 b,gas giant
HD 66428 b,gas giant
HD 66428 c,gas giant
HD 67087 b,gas giant
HD 67087 c,gas giant
HD 6718 b,gas giant
HD 68402 b,gas giant
HD 68988 b,gas giant
HD 68988 c,gas giant
HD 70573 b,gas giant
HD 70642 b,gas giant
HD 7199 b,gas giant
HD 72490 b,gas giant
HD 72659 b,gas giant
HD 72892 b,gas giant
HD 73267 b,gas giant
HD 73526 b,gas giant
HD 73526 c,gas giant
HD 73534 b,gas giant
HD 74156 b,gas giant
HD 74156 c,gas giant
HD 7449 b,gas giant
HD 75289 b,gas giant
HD 75784 b,gas giant
HD 75784 c,gas giant
HD 75898 b,gas giant
HD 76700 b,gas giant
HD 76920 b,gas giant
HD 79498 b,gas giant
HD 80606 b,gas giant
HD 80869 b,gas giant
HD 81040 b,gas giant
HD 81688 b,gas giant
HD 81817 b,gas giant
HD 82886 b,gas giant
HATS-52 b,gas giant
HATS-53 b,gas giant
HATS-54 b,gas giant
HATS-55 b,gas giant
HATS-56 b,gas giant
HATS-57 b,gas giant
HATS-58 A b,gas giant
HATS-59 b,gas giant
HATS-59 c,gas giant
HATS-60 b,gas giant
HATS-61 b,gas giant
HATS-62 b,gas giant
HATS-63 b,gas giant
HATS-64 b,gas giant
HATS-65 b,gas giant
HATS-66 b,gas giant
HATS-67 b,gas giant
HATS-68 b,gas giant
HATS-69 b,gas giant
HATS-70 b,gas giant
HATS-71 b,gas giant
HATS-72 b,gas giant
HD 100546 b,gas giant
HD 100655 b,gas giant
HD 100777 b,gas giant
HD 10180 h,gas giant
HD 101930 b,gas giant
HD 102117 b,gas giant
HD 102195 b,gas giant
HD 102272 b,gas giant
HD 102329 b,gas giant
HD 102329 c,gas giant
HD 102843 b,gas giant
HD 102956 b,gas giant
HD 103720 b,gas giant
HD 103774 b,gas giant
HD 104067 b,gas giant
HD 10442 b,gas giant
HD 104985 b,gas giant
HD 106252 b,gas giant
HD 106270 b,gas giant
HD 10647 b,gas giant
HD 106515 A b,gas giant
HD 106906 b,gas giant
11 UMi b,gas giant
14 And b,gas giant
14 Her b,gas giant
16 Cyg B b,gas giant
17 Sco b,gas giant
18 Del b,gas giant
1RXS J160929.1-210524 b,gas giant
24 Boo b,gas giant
24 Sex b,gas giant
24 Sex c,gas giant
2MASS J01033563-5515561 AB b,gas giant
2MASS J01225093-2439505 b,gas giant
2MASS J02192210-3925225 b,gas giant
2MASS J04414489+2301513 b,gas giant
2MASS J12073346-3932539 b,gas giant
2MASS J19383260+4603591 b,gas giant
2MASS J21402931+1625183 A b,gas giant
2MASS J22362452+4751425 b,gas giant
30 Ari B b,gas giant
42 Dra b,gas giant
47 UMa b,gas giant
47 UMa c,gas giant
47 UMa d,gas giant
4 UMa b,gas giant
51 Eri b,gas giant
51 Peg b,gas giant
55 Cnc b,gas giant
55 Cnc c,gas giant
55 Cnc d,gas giant
55 Cnc f,gas giant
6 Lyn b,gas giant
70 Vir b,gas giant
75 Cet b,gas giant
7 CMa b,gas giant
7 CMa c,gas giant
81 Cet b,gas giant
8 UMi b,gas giant
91 Aqr b,gas giant
AB Pic b,gas giant
alf Ari b,gas giant
alf Tau b,gas giant
BD-00 4475 b,gas giant
BD+03 2562 b,gas giant
BD-06 1339 c,gas giant
BD-08 2823 c,gas giant
BD-10 3166 b,gas giant
BD-11 4672 b,gas giant
BD-13 2130 b,gas giant
BD+14 4559 b,gas giant
DE CVn b,gas giant
DENIS-P J082303.1-491201 b,gas giant
DH Tau b,gas giant
DP Leo b,gas giant
EPIC 246851721 b,gas giant
EPIC 248847494 b,gas giant
eps CrB b,gas giant
eps Eri b,gas giant
eps Ind A b,gas giant
eps Tau b,gas giant
FU Tau b,gas giant
gam 1 Leo b,gas giant
gam Cep b,gas giant
gam Lib b,gas giant
gam Lib c,gas giant
GJ 1148 b,gas giant
GJ 1148 c,gas giant
GJ 3021 b,gas giant
GJ 3512 b,gas giant
GJ 414 A c,gas giant
GJ 676 A b,gas giant
GJ 676 A c,gas giant
GJ 9066 c,gas giant
GQ Lup b,gas giant
GSC 06214-00210 b,gas giant
GU Pis b,gas giant
HAT-P-11 c,gas giant
HAT-P-12 b,gas giant
HAT-P-13 b,gas giant
HAT-P-13 c,gas giant
HAT-P-14 b,gas giant
HAT-P-15 b,gas giant
HAT-P-16 b,gas giant
HAT-P-17 b,gas giant
HAT-P-17 c,gas giant
HD 22781 b,gas giant
HD 23079 b,gas giant
HD 23127 b,gas giant
HD 231701 b,gas giant
HD 233604 b,gas giant
HD 233832 b,gas giant
HD 23596 b,gas giant
HD 238914 b,gas giant
HD 240210 b,gas giant
HD 240237 b,gas giant
HD 24040 b,gas giant
HD 24040 c,gas giant
HD 24064 b,gas giant
HD 25015 b,gas giant
HD 25171 b,gas giant
HD 25723 b,gas giant
HD 26161 b,gas giant
HD 2638 b,gas giant
HD 2685 b,gas giant
HD 27442 b,gas giant
HD 27631 b,gas giant
HD 27894 b,gas giant
HD 27894 c,gas giant
HD 27894 d,gas giant
HD 27969 b,gas giant
HD 28185 b,gas giant
HD 28254 b,gas giant
HD 285507 b,gas giant
HD 28678 b,gas giant
HD 29021 b,gas giant
HD 290327 b,gas giant
HD 29399 b,gas giant
HD 2952 b,gas giant
HD 30177 b,gas giant
HD 30177 c,gas giant
HD 30562 b,gas giant
HD 30669 b,gas giant
HD 30856 b,gas giant
HD 31253 b,gas giant
HD 32518 b,gas giant
HD 32963 b,gas giant
HD 330075 b,gas giant
HD 331093 b,gas giant
HD 33142 b,gas giant
HD 33142 c,gas giant
HD 332231 b,gas giant
HD 33283 b,gas giant
HD 33564 b,gas giant
HD 33844 b,gas giant
HD 34445 b,gas giant
HD 34445 c,gas giant
HD 34445 g,gas giant
HD 35759 b,gas giant
HD 3651 b,gas giant
HD 37124 b,gas giant
HD 37124 c,gas giant
HD 37124 d,gas giant
HD 37605 b,gas giant
HD 37605 c,gas giant
HD 3765 b,gas giant
HD 38283 b,gas giant
HD 38529 b,gas giant
HD 38529 c,gas giant
HD 38801 b,gas giant
HD 39091 b,gas giant
HD 40956 b,gas giant
HD 40979 b,gas giant
HD 41004 A b,gas giant
HD 41004 B b,gas giant
HD 4113 b,gas giant
HD 42012 b,gas giant
HD 4203 b,gas giant
HD 4203 c,gas giant
HD 4208 b,gas giant
HD 4313 b,gas giant
HD 43197 b,gas giant
HD 43691 b,gas giant
HD 44219 b,gas giant
HD 45350 b,gas giant
HD 45364 b,gas giant
HD 45364 c,gas giant
HD 45652 b,gas giant
HD 46375 b,gas giant
HD 47186 c,gas giant
HD 4732 b,gas giant
HD 4732 c,gas giant
HD 47366 b,gas giant
HD 47366 c,gas giant
HD 47536 b,gas giant
HD 4760 b,gas giant
HD 48265 b,gas giant
HD 4917 b,gas giant
HD 50499 b,gas giant
HD 50499 c,gas giant
HD 50554 b,gas giant
HD 52265 b,gas giant
HD 5319 b,gas giant
HD 5319 c,gas giant
Kepler-1490 b,neptune-like
Kepler-1494 b,neptune-like
Kepler-1495 b,neptune-like
Kepler-1496 b,neptune-like
Kepler-149 b,neptune-like
Kepler-149 d,neptune-like
Kepler-1502 b,neptune-like
Kepler-1503 b,neptune-like
Kepler-1504 b,neptune-like
Kepler-150 c,neptune-like
Kepler-150 d,neptune-like
Kepler-150 e,neptune-like
Kepler-150 f,neptune-like
Kepler-1510 b,neptune-like
Kepler-1518 b,neptune-like
Kepler-151 b,neptune-like
Kepler-1520 b,neptune-like
Kepler-1521 b,neptune-like
Kepler-1524 b,neptune-like
Kepler-1526 b,neptune-like
Kepler-1527 b,neptune-like
Kepler-1529 b,neptune-like
Kepler-152 b,neptune-like
Kepler-152 c,neptune-like
Kepler-1533 b,neptune-like
Kepler-1535 b,neptune-like
Kepler-1536 b,neptune-like
Kepler-1538 b,neptune-like
Kepler-1539 b,neptune-like
Kepler-153 b,neptune-like
Kepler-153 c,neptune-like
Kepler-1540 b,neptune-like
Kepler-1543 b,neptune-like
Kepler-1545 b,neptune-like
Kepler-1546 b,neptune-like
Kepler-1548 b,neptune-like
Kepler-1549 b,neptune-like
Kepler-154 b,neptune-like
Kepler-154 c,neptune-like
Kepler-154 d,neptune-like
Kepler-1550 b,neptune-like
Kepler-1551 b,neptune-like
Kepler-1552 b,neptune-like
Kepler-1554 b,neptune-like
Kepler-155 c,neptune-like
Kepler-1562 b,neptune-like
Kepler-1567 b,neptune-like
Kepler-156 b,neptune-like
Kepler-156 c,neptune-like
Kepler-570 b,neptune-like
Kepler-571 b,neptune-like
Kepler-572 b,neptune-like
Kepler-573 b,neptune-like
Kepler-574 b,neptune-like
Kepler-575 b,neptune-like
Kepler-576 b,neptune-like
Kepler-577 b,neptune-like
Kepler-580 b,neptune-like
Kepler-581 b,neptune-like
Kepler-582 b,neptune-like
Kepler-583 b,neptune-like
Kepler-584 b,neptune-like
Kepler-585 b,neptune-like
Kepler-586 b,neptune-like
Kepler-587 b,neptune-like
Kepler-588 b,neptune-like
Kepler-589 b,neptune-like
Kepler-58 b,neptune-like
Kepler-58 d,neptune-like
Kepler-590 b,neptune-like
Kepler-591 b,neptune-like
Kepler-592 b,neptune-like
Kepler-593 b,neptune-like
Kepler-594 b,neptune-like
Kepler-595 b,neptune-like
Kepler-596 b,neptune-like
Kepler-597 b,neptune-like
Kepler-598 c,neptune-like
Kepler-599 b,neptune-like
Kepler-600 b,neptune-like
Kepler-603 b,neptune-like
Kepler-603 c,neptune-like
Kepler-604 b,neptune-like
Kepler-606 b,neptune-like
Kepler-608 b,neptune-like
Kepler-609 b,neptune-like
Kepler-60 d,neptune-like
Kepler-610 b,neptune-like
Kepler-610 c,neptune-like
Kepler-612 b,neptune-like
Kepler-613 b,neptune-like
Kepler-614 b,neptune-like
Kepler-616 b,neptune-like
Kepler-616 c,neptune-like
Kepler-618 b,neptune-like
Kepler-619 b,neptune-like
Kepler-61 b,neptune-like
Kepler-620 b,neptune-like
Kepler-261 b,neptune-like
Kepler-263 b,neptune-like
Kepler-263 c,neptune-like
Kepler-264 b,neptune-like
Kepler-264 c,neptune-like
Kepler-265 c,neptune-like
Kepler-265 d,neptune-like
Kepler-265 e,neptune-like
Kepler-266 b,neptune-like
Kepler-266 c,neptune-like
Kepler-267 c,neptune-like
Kepler-267 d,neptune-like
Kepler-268 b,neptune-like
Kepler-268 c,neptune-like
Kepler-269 b,neptune-like
Kepler-26 b,neptune-like
Kepler-26 c,neptune-like
Kepler-26 e,neptune-like
Kepler-272 d,neptune-like
Kepler-275 b,neptune-like
Kepler-275 c,neptune-like
Kepler-275 d,neptune-like
Kepler-276 b,neptune-like
Kepler-278 b,neptune-like
Kepler-278 c,neptune-like
Kepler-279 b,neptune-like
Kepler-279 d,neptune-like
Kepler-281 b,neptune-like
Kepler-281 c,neptune-like
Kepler-283 b,neptune-like
Kepler-284 b,neptune-like
Kepler-284 c,neptune-like
Kepler-287 b,neptune-like
Kepler-287 c,neptune-like
Kepler-288 c,neptune-like
Kepler-288 d,neptune-like
Kepler-289 d,neptune-like
Kepler-28 b,neptune-like
Kepler-28 c,neptune-like
Kepler-290 b,neptune-like
Kepler-290 c,neptune-like
Kepler-291 b,neptune-like
Kepler-292 d,neptune-like
Kepler-292 e,neptune-like
Kepler-292 f,neptune-like
Kepler-293 b,neptune-like
Kepler-293 c,neptune-like
Kepler-294 c,neptune-like
Kepler-296 c,neptune-like
Kepler-838 b,neptune-like
Kepler-839 b,neptune-like
Kepler-841 b,neptune-like
Kepler-843 b,neptune-like
Kepler-846 b,neptune-like
Kepler-84 e,neptune-like
Kepler-84 f,neptune-like
Kepler-852 b,neptune-like
Kepler-857 b,neptune-like
Kepler-858 b,neptune-like
Kepler-859 b,neptune-like
Kepler-860 b,neptune-like
Kepler-861 b,neptune-like
Kepler-862 b,neptune-like
Kepler-863 b,neptune-like
Kepler-864 b,neptune-like
Kepler-865 b,neptune-like
Kepler-867 b,neptune-like
Kepler-869 b,neptune-like
